num_of_agents,num_of_items,value_noise_ratio,algorithm,random_seed,utilitarian_value,egalitarian_value,egalitarian_utilitarian_ratio,max_envy,mean_envy,max_deficit,mean_deficit,runtime
100,2000,0.8,alloc_by_matching,0,1.9915811159817631,1.7857142857142856,0.8966314609957555,0.0,0.0,0.0,0.0,5.6085668000159785
100,2000,0.8,alloc_by_matching,1,2.013866261198309,1.951219512195122,0.9688922992503431,0.0,0.0,0.0,0.0,5.658601600094698
100,2000,0.8,alloc_by_matching,2,1.9968385904189767,1.7999999999999998,0.9014248866365926,0.0,0.0,0.0,0.0,5.2904940999578685
100,2000,0.8,alloc_by_matching,3,2.000064338544321,1.818181818181818,0.9090616652387892,0.0,0.0,0.0,0.0,5.551555500016548
100,2000,0.8,alloc_by_matching,4,1.9625230491653871,1.75609756097561,0.8948162732266687,0.0,0.0,0.0,0.0,5.608701799996197
100,2000,1.0,alloc_by_matching,0,1.994161803196553,1.7999999999999998,0.9026348800356516,0.0,0.0,0.0,0.0,4.75994969997555
100,2000,1.0,alloc_by_matching,1,2.012830386596604,1.9550342130987293,0.971286118352178,0.0,0.0,0.0,0.0,4.823619000031613
100,2000,1.0,alloc_by_matching,2,1.995683182699444,1.7857142857142856,0.8947884620137224,0.0,0.0,0.0,0.0,4.971899800002575
100,2000,1.0,alloc_by_matching,3,1.9987951659203165,1.8145161290322585,0.9078049416818508,0.0,0.0,0.0,0.0,4.996065899962559
100,2000,1.0,alloc_by_matching,4,1.9697204990148924,1.762977473065622,0.8950394098793876,0.0,0.0,0.0,0.0,4.849334399914369
25,250,0.0,utilitarian_matching,0,5.239748207708589,0.0,0.0,16.51560926485398,11.33175516103018,10.0,0.0,0.3970781000098213
25,250,0.0,utilitarian_matching,1,5.229324553210547,0.0,0.0,13.12625250501002,7.899593530544189,10.0,0.0,0.3508120999904349
25,250,0.0,utilitarian_matching,2,5.218270442124367,0.0,0.0,17.94616151545364,12.523035302209085,10.0,0.0,0.4054561000084504
25,250,0.0,utilitarian_matching,3,5.204935974468579,0.0,0.0,13.00893743793446,7.574513926009768,10.0,0.0,0.347308799973689
25,250,0.0,utilitarian_matching,4,5.237920424000031,0.0,0.0,12.912912912912914,7.5925254329461085,10.0,0.0,0.3600363000296056
